# grid 14x14x14  n=2744  ordering=0
stage	threads	dag	seconds	speedup	max_team	max_err
factor	1	0	0.134307	1.000	1	3.331e-15
solve1	1	0	0.000525	1.000	1	3.331e-15
solve4	1	0	0.001598	1.000	1	3.331e-15
factor	2	0	0.121695	1.104	2	3.331e-15
solve1	2	0	0.000510	1.030	2	3.331e-15
solve4	2	0	0.000903	1.771	2	3.331e-15
factor	1	1	0.125984	1.000	1	3.331e-15
solve1	1	1	0.000504	1.000	1	3.331e-15
solve4	1	1	0.001546	1.000	1	3.331e-15
factor	2	1	0.126675	0.995	2	3.331e-15
solve1	2	1	0.000492	1.024	2	3.331e-15
solve4	2	1	0.000861	1.796	2	3.331e-15
