# grid 14x14x14  n=2744  ordering=5
stage	threads	dag	seconds	speedup	max_team	max_err
factor	1	0	0.017953	1.000	1	3.109e-15
solve1	1	0	0.000305	1.000	1	3.109e-15
solve4	1	0	0.001075	1.000	1	3.109e-15
factor	2	0	0.015602	1.151	2	3.109e-15
solve1	2	0	0.000303	1.008	2	3.109e-15
solve4	2	0	0.000858	1.252	2	3.109e-15
factor	1	1	0.018384	1.000	1	3.109e-15
solve1	1	1	0.000326	1.000	1	3.109e-15
solve4	1	1	0.001092	1.000	1	3.109e-15
factor	2	1	0.014380	1.278	2	3.109e-15
solve1	2	1	0.000302	1.080	2	3.109e-15
solve4	2	1	0.000860	1.269	2	3.109e-15
