impl	k	n	order	stage	threads	seconds	max_err
base	14	2744	0	factor	1	0.113591	3.331e-15
base	14	2744	0	solve1	1	0.000766	3.331e-15
base	14	2744	0	solve4	1	0.002028	3.331e-15
base	14	2744	0	factor	2	0.094353	3.331e-15
base	14	2744	0	solve1	2	0.000752	3.331e-15
base	14	2744	0	solve4	2	0.001129	3.331e-15
new	14	2744	0	factor	1	0.029018	2.665e-15
new	14	2744	0	solve1	1	0.000625	2.665e-15
new	14	2744	0	solve4	1	0.002109	2.665e-15
new	14	2744	0	factor	2	0.029528	2.665e-15
new	14	2744	0	solve1	2	0.000639	2.665e-15
new	14	2744	0	solve4	2	0.001369	2.665e-15
base	14	2744	5	factor	1	0.025001	3.109e-15
base	14	2744	5	solve1	1	0.000390	3.109e-15
base	14	2744	5	solve4	1	0.001359	3.109e-15
base	14	2744	5	factor	2	0.021582	3.109e-15
base	14	2744	5	solve1	2	0.000381	3.109e-15
base	14	2744	5	solve4	2	0.000806	3.109e-15
new	14	2744	5	factor	1	0.008685	2.776e-15
new	14	2744	5	solve1	1	0.000370	2.776e-15
new	14	2744	5	solve4	1	0.001215	2.776e-15
new	14	2744	5	factor	2	0.009658	2.776e-15
new	14	2744	5	solve1	2	0.000364	2.776e-15
new	14	2744	5	solve4	2	0.000821	2.776e-15
base	20	8000	0	factor	1	0.693329	8.660e-15
base	20	8000	0	solve1	1	0.004344	8.660e-15
base	20	8000	0	solve4	1	0.009639	8.660e-15
base	20	8000	0	factor	2	0.505868	8.660e-15
base	20	8000	0	solve1	2	0.004162	8.660e-15
base	20	8000	0	solve4	2	0.004916	8.660e-15
new	20	8000	0	factor	1	0.105015	8.105e-15
new	20	8000	0	solve1	1	0.003413	8.105e-15
new	20	8000	0	solve4	1	0.008440	8.105e-15
new	20	8000	0	factor	2	0.100875	8.105e-15
new	20	8000	0	solve1	2	0.003535	8.105e-15
new	20	8000	0	solve4	2	0.004792	8.105e-15
base	20	8000	5	factor	1	0.162365	6.217e-15
base	20	8000	5	solve1	1	0.002889	6.217e-15
base	20	8000	5	solve4	1	0.006633	6.217e-15
base	20	8000	5	factor	2	0.128062	6.217e-15
base	20	8000	5	solve1	2	0.002901	6.217e-15
base	20	8000	5	solve4	2	0.003684	6.217e-15
new	20	8000	5	factor	1	0.037545	5.995e-15
new	20	8000	5	solve1	1	0.001949	5.995e-15
new	20	8000	5	solve4	1	0.005537	5.995e-15
new	20	8000	5	factor	2	0.035113	5.995e-15
new	20	8000	5	solve1	2	0.001948	5.995e-15
new	20	8000	5	solve4	2	0.003346	5.995e-15
base	26	17576	0	factor	1	2.777670	1.554e-14
base	26	17576	0	solve1	1	0.012855	1.554e-14
base	26	17576	0	solve4	1	0.037753	1.554e-14
base	26	17576	0	factor	2	1.904680	1.554e-14
base	26	17576	0	solve1	2	0.011953	1.554e-14
base	26	17576	0	solve4	2	0.015117	1.554e-14
new	26	17576	0	factor	1	0.352750	1.532e-14
new	26	17576	0	solve1	1	0.012271	1.532e-14
new	26	17576	0	solve4	1	0.028386	1.532e-14
new	26	17576	0	factor	2	0.315715	1.532e-14
new	26	17576	0	solve1	2	0.012251	1.532e-14
new	26	17576	0	solve4	2	0.016066	1.532e-14
base	26	17576	5	factor	1	0.718110	1.577e-14
base	26	17576	5	solve1	1	0.008907	1.577e-14
base	26	17576	5	solve4	1	0.019621	1.577e-14
base	26	17576	5	factor	2	0.548792	1.577e-14
base	26	17576	5	solve1	2	0.008965	1.577e-14
base	26	17576	5	solve4	2	0.010491	1.577e-14
new	26	17576	5	factor	1	0.146789	1.465e-14
new	26	17576	5	solve1	1	0.008647	1.465e-14
new	26	17576	5	solve4	1	0.018445	1.465e-14
new	26	17576	5	factor	2	0.111427	1.465e-14
new	26	17576	5	solve1	2	0.008650	1.465e-14
new	26	17576	5	solve4	2	0.010622	1.465e-14
base	30	27000	0	factor	1	7.775878	2.398e-14
base	30	27000	0	solve1	1	0.024055	2.398e-14
base	30	27000	0	solve4	1	0.082385	2.398e-14
base	30	27000	0	factor	2	4.961218	2.398e-14
base	30	27000	0	solve1	2	0.023174	2.398e-14
base	30	27000	0	solve4	2	0.033625	2.398e-14
new	30	27000	0	factor	1	0.727929	2.842e-14
new	30	27000	0	solve1	1	0.024982	2.842e-14
new	30	27000	0	solve4	1	0.060707	2.842e-14
new	30	27000	0	factor	2	0.599483	2.842e-14
new	30	27000	0	solve1	2	0.024462	2.842e-14
new	30	27000	0	solve4	2	0.033824	2.842e-14
base	30	27000	5	factor	1	1.919495	2.887e-14
base	30	27000	5	solve1	1	0.018762	2.887e-14
base	30	27000	5	solve4	1	0.062764	2.887e-14
base	30	27000	5	factor	2	1.296374	2.887e-14
base	30	27000	5	solve1	2	0.017292	2.887e-14
base	30	27000	5	solve4	2	0.024666	2.887e-14
new	30	27000	5	factor	1	0.347848	2.665e-14
new	30	27000	5	solve1	1	0.017767	2.665e-14
new	30	27000	5	solve4	1	0.041707	2.665e-14
new	30	27000	5	factor	2	0.246457	2.665e-14
new	30	27000	5	solve1	2	0.017272	2.665e-14
new	30	27000	5	solve4	2	0.023521	2.665e-14
