# grid 14x14x14  n=2744  ordering=0
stage	threads	dag	seconds	speedup	max_team	max_err
factor	1	0	0.324759	1.000	1	3.331e-15
solve1	1	0	0.000920	1.000	1	3.331e-15
solve4	1	0	0.003098	1.000	1	3.331e-15
factor	2	0	0.258325	1.257	2	3.331e-15
solve1	2	0	0.000975	0.943	2	3.331e-15
solve4	2	0	0.001721	1.800	2	3.331e-15
factor	1	1	0.349107	1.000	1	3.331e-15
solve1	1	1	0.000958	1.000	1	3.331e-15
solve4	1	1	0.002955	1.000	1	3.331e-15
factor	2	1	0.232643	1.501	2	3.331e-15
solve1	2	1	0.000946	1.013	2	3.331e-15
solve4	2	1	0.001835	1.611	2	3.331e-15
