# grid 14x14x14  n=2744  ordering=0
stage	threads	dag	seconds	speedup	max_team	max_err
factor	1	0	0.037687	1.000	1	2.665e-15
solve1	1	0	0.000955	1.000	1	2.665e-15
solve4	1	0	0.003109	1.000	1	2.665e-15
factor	2	0	0.040209	0.937	2	2.665e-15
solve1	2	0	0.000965	0.989	2	2.665e-15
solve4	2	0	0.001893	1.642	2	2.665e-15
factor	1	1	0.037072	1.000	1	2.665e-15
solve1	1	1	0.000960	1.000	1	2.665e-15
solve4	1	1	0.003298	1.000	1	2.665e-15
factor	2	1	0.044859	0.826	2	2.665e-15
solve1	2	1	0.000992	0.968	2	2.665e-15
solve4	2	1	0.002240	1.472	2	2.665e-15
